,0.8993,0.2231,0.6365,1.1493,0.8483,1.2534,1.4449,1.9906,1.3303,1.448,1.9148,3.4651,5.2144,6.5806,8.6385
80,0.8590000000000001,0.2622,0.7408,1.3448,0.9631,1.4419,1.6601,2.2732,1.6923,1.8209,2.3893,4.2771,6.3612,7.9387,10.1864
81,0.21100000000000002,2.4077,5.9226,10.8919,6.8334,10.3816,11.5583,14.5956,23.316999999999997,17.2786,26.601999999999997,34.2448,36.809,32.876999999999995,42.9968
82,0.207,11.504000000000001,24.1428,38.801,18.5352,35.2569,39.125,43.6371,53.7445,32.1417,56.2354,54.6684,60.0479,47.5846,60.6866
83,0.2046,30.206999999999997,50.3972,67.6646,26.5286,59.5419,67.513,66.4983,59.2824,37.2693,66.633,66.2834,66.9695,50.0533,62.9436
84,0.2022,50.3972,71.3877,78.592,28.7477,67.938,73.5077,77.6744,58.8889,39.6271,66.633,62.989,61.7414,50.6424,64.309
85,0.203,61.41,74.3444,80.6932,29.0823,72.4181,79.9474,81.3453,54.8097,39.2482,66.633,59.9272,63.5316,51.5801,65.8253
86,0.2012,62.6869,74.3444,80.6932,29.555,78.1461,71.6582,73.7472,55.6363,41.2168,64.1416,65.8307,57.2603,49.79,62.9436
87,0.201,59.6617,76.3332,71.4844,27.8649,63.0524,68.1197,68.0064,56.7773,40.5881,64.1416,59.482,55.0929,48.9146,62.9436
88,0.201,54.4606,64.5303,69.8255,27.8649,63.0524,64.3583,63.5872,55.6363,39.8017,59.3023,65.2954,52.4422,49.2201,62.4461
89,0.2007,49.2563,58.8598,61.4312,25.7715,55.4192,57.648999999999994,60.9168,53.3555,40.1911,62.7987,59.11600000000001,50.9361,50.0533,66.8445
90,0.2002,45.8525,54.4606,55.9066,25.5887,53.6815,55.2549,54.7053,57.5888,39.4196,58.5052,64.3359,50.6129,47.5846,62.9436
91,0.2001,39.1977,50.0809,51.8946,24.1383,49.1574,50.4951,51.1767,55.6363,40.0132,60.5772,57.5565,49.2068,49.2201,66.2847
92,0.2002,35.9202,45.3727,51.8946,24.0501,49.4117,47.5609,49.1134,51.31100000000001,39.8017,58.9374,62.0947,48.3602,46.2782,62.0375
93,0.2,33.3963,42.6882,46.0632,23.1202,44.3527,45.443999999999996,47.2542,53.7445,40.0132,57.7289,56.8068,47.306000000000004,47.8255,64.309
94,0.2,30.4236,37.0193,46.8361,23.0525,44.8125,45.443999999999996,45.9702,51.31100000000001,39.6271,58.5052,59.9272,47.589,44.6138,61.553999999999995
95,0.2,28.0928,32.1377,42.2414,22.3331,43.7002,43.9737,45.9702,55.6363,39.6271,55.9066,55.6851,48.1165,45.7841,63.3641
96,0.2,24.7804,26.4269,41.608999999999995,22.3967,44.1468,42.1526,43.4365,51.6712,39.2482,60.5772,58.6825,46.2959,43.9065,61.1567
97,0.2,21.6816,21.2859,36.4816,21.8486,40.2166,40.6946,43.4365,54.073,39.2482,54.1325,54.6684,46.0722,43.7026,63.3641
98,0.2,18.4192,16.1764,32.8215,21.5841,40.596,41.1064,42.5746,47.6519,39.6271,56.9725,53.6275,46.2959,43.2606,62.0375
99,0.2,14.2614,12.0441,28.9918,22.0573,40.4227,41.5264,41.7456,50.0315,38.6764,52.5235,58.326,46.5671,42.1739,59.467
